,Item name,Item Description,Item price,Item image url
50,Tuscan Salmon,Pan seared salmon fillet on a bed of stewed vegetables,AED 69.00,https://images.deliveryhero.io/image/talabat/Menuitems/20B412F4B10FDFFB3F426F52FCA0C6DD?width=172&amp;height=172
51,Pesto Chicken,"Chicken breast stuffed with ricotta and pesto and served on 
a bed of fettuccine topped with arrabbiata sauce",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/904C87D172A760C47E4D50A3A63CD92D?width=172&amp;height=172
52,Chicken Parmigiana,"Lightly breaded chicken fillets topped with a flavorful tomato 
sauce and mozzarella, accompanied with garlic spinach",AED 54.00,https://images.deliveryhero.io/image/talabat/Menuitems/B1FE6A10885CBF35069E10D0B2C13977?width=172&amp;height=172
53,Crostini Chicken with Fettuccine,"Grilled chicken breast topped with potato & breadcrumbs crust served on a 
bed of fettuccine tossed in a light creamy garlic sauce with mushroom",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/693D3D260F0075870E6115AF8878FA10?width=172&amp;height=172
54,Blackened Chicken with Fettuccine,"Cajun spiced chicken breast served on a bed of fettuccine tossed in a 
creamy mushroom sauce",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/AA0570982C4ABFD140FD17995199F000?width=172&amp;height=172
55,Cajun Seafood Risotto,Mixed seafood cooked with cajun spices and tossed in creamy risotto (Note: Mix the contents in the delivery container for a balanced flavour),AED 65.00,https://images.deliveryhero.io/image/talabat/Menuitems/A6B77D78A80B721F8FBCD90DB8765AF3?width=172&amp;height=172
56,Prawn Risotto,Sauteed prawns served with creamed risotto & green peas,AED 54.00,https://images.deliveryhero.io/image/talabat/Menuitems/DA12EF281144984589942EF35524C40D?width=172&amp;height=172
57,Wild Rice Risotto with Salmon,Mixed wild rice risotto topped with balsamic glazed salmon fillets,AED 65.00,https://images.deliveryhero.io/image/talabat/Menuitems/12A11E53789FF01C72741251651C01F9?width=172&amp;height=172
58,Herb Crusted Salmon Fillet رشائح سلمون باألعشاب,"Baked salmon fillet crusted with mediterranean herbs, served with mashed potato and asparagus.",AED 67.00,https://images.deliveryhero.io/image/talabat/Menuitems/29A35FF63BAD2A5782F30DBDAC5CD45D?width=172&amp;height=172
59,Pan Seared Salmon Fillet رشائح سلمون مشوية,Pan seared salmon fillet with lemony pesto and served with garlic spinach.,AED 67.00,https://images.deliveryhero.io/image/talabat/Menuitems/DF736309A4DFFB8CE0DC6FD117FA60E7?width=172&amp;height=172
60,Grilled Chicken with Balsamic Reduction دجاج مشوي مع صلصة بلسمية مركزة,"Grilled chicken breast accompanied with roasted potatoes and grilled vegetables, served with a balsamic reduction.",AED 54.00,https://images.deliveryhero.io/image/talabat/Menuitems/B6D6AEBA47F741FEF670321C08201E14?width=172&amp;height=172
61,Lasagna di Carne,"Alternating layers of pasta sheets topped with a delicious meat 
sauce and finished with a thin layer of bechamel & mozzarella",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/650A6AB9920227AE50166D2337D2C8FD?width=172&amp;height=172
